Province,Year,Goods-producing industries  [T002]7,Service-producing industries  [T003]8,Industrial production  [T010]9,Information and communication technology sector  [T013]10,Energy sector  [T016]11,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
Quebec,2014,27.05,72.95,18.77,4.62,3.88,1.77,1.3,3.61,6.83,13.55,5.5,5.71,4.24,2.92,5.81,11.1,6.06,0.72,2.98,6.14,8.63,0.84,2.19,2.22,7.9
Quebec,2015,27.33,72.67,19.09,4.5,4.16,1.77,1.1,3.59,6.79,14.08,5.39,5.74,4.25,2.94,5.85,11.23,5.76,0.66,2.92,6.17,8.69,0.82,2.24,2.22,7.8
Quebec,2016,27.12,72.88,18.87,4.52,4.07,1.8,1.11,3.58,6.77,13.87,5.41,5.91,4.25,2.85,5.84,11.36,5.84,0.67,2.97,6.11,8.59,0.82,2.32,2.25,7.72
Quebec,2017,27.34,72.66,19.09,4.53,4.13,1.71,1.22,3.56,6.86,13.99,5.59,5.94,4.39,2.71,5.9,11.23,5.88,0.6,2.92,5.98,8.56,0.81,2.36,2.22,7.57
Quebec,2018,27.57,72.43,19.36,4.58,4.23,1.78,1.35,3.63,6.74,14.07,5.59,5.87,4.49,2.65,5.94,11.09,5.97,0.6,2.86,5.91,8.58,0.81,2.39,2.23,7.47
Ontario,2010,23.34,76.66,16.27,5.32,2.32,0.8,1.06,2.06,6.55,12.86,6.32,5.01,3.74,3.81,8.6,12.91,6.55,0.76,3.37,6.06,7.12,0.85,1.86,2,7.71
Ontario,2011,23.47,76.53,16.32,5.18,2.3,0.96,1.39,2.06,6.46,12.59,6.41,4.82,3.74,3.75,8.82,12.86,6.57,0.73,3.26,6.05,7.11,0.84,1.85,1.95,7.78
Ontario,2012,23.72,76.28,16.24,5.14,2.47,1.03,1.17,2,6.75,12.78,6.53,4.78,3.75,3.78,8.51,13,6.42,0.72,3.31,6.05,7.06,0.83,1.9,1.96,7.67
Ontario,2013,22.92,77.08,15.69,5.3,2.4,0.95,1.21,1.96,6.6,12.2,6.4,4.88,3.85,3.74,8.82,13.12,6.43,0.74,3.37,6.09,7.07,0.8,1.98,1.99,7.79
Ontario,2014,22.97,77.03,15.72,5.3,2.52,0.98,1.18,2,6.6,12.21,6.35,4.69,4.02,3.79,9.17,12.86,6.51,0.7,3.44,6.05,7.05,0.81,2.02,2.01,7.55
Ontario,2015,23.39,76.61,15.91,5.37,2.6,0.99,1.04,2.02,6.8,12.53,6.18,4.56,4.07,3.65,9.26,12.83,6.64,0.77,3.41,5.97,7.1,0.82,2.02,1.99,7.34
Ontario,2016,23.16,76.84,15.79,5.47,2.65,0.97,0.93,2.18,6.71,12.37,6.41,4.66,4.08,3.63,9.29,13.02,6.67,0.74,3.38,5.88,7.07,0.82,2.08,1.93,7.17
Ontario,2017,22.94,77.06,15.35,5.56,2.44,0.97,0.9,1.91,6.92,12.23,6.62,4.83,4.15,3.61,9.48,12.85,6.68,0.69,3.3,5.79,7.08,0.83,2.12,1.9,7.14
Ontario,2018,22.69,77.31,15.33,5.68,2.58,0.97,0.88,1.99,6.69,12.15,6.6,4.8,4.35,3.49,9.6,12.67,6.89,0.64,3.3,5.76,7.16,0.84,2.16,1.92,7.13
Manitoba,2010,27.27,72.73,17.96,3.33,5.77,2.88,3.98,3.4,6.69,10.31,5.65,5.58,5.75,3.09,5.81,12.38,2.94,0.63,1.68,5.87,9.47,0.81,1.89,1.94,9.23
Manitoba,2011,28.23,71.77,19.16,3.34,6.24,2.87,4.7,3.16,6.47,11.03,5.33,5.47,5.75,3.05,5.51,12.3,3,0.63,1.69,5.93,9.29,0.81,1.87,1.95,9.19
Manitoba,2012,29.83,70.17,19.07,3.39,6.56,4.35,4.37,3.24,6.7,11.18,4.97,5.4,5.59,3.01,5.24,12.17,3.04,0.7,1.74,5.78,9.31,0.78,1.82,1.9,8.72
Manitoba,2013,29.69,70.31,18.41,3.14,6.7,4.68,4.12,3.33,6.88,10.68,4.94,5.34,5.6,2.93,5.3,11.99,3.19,0.69,1.74,5.75,9.32,0.74,1.82,1.89,9.05
Manitoba,2014,28.37,71.63,18,3.04,6.48,3.38,3.9,3.28,7.26,10.54,5.32,5.5,5.8,2.85,5.4,12.26,3.27,0.63,1.77,5.83,9.5,0.78,1.87,1.99,8.86
Manitoba,2015,27.2,72.8,15.88,2.92,5.27,4.03,2.52,3.21,7.54,9.9,4.91,5.74,6.1,2.8,5.61,12.53,3.33,0.72,1.78,5.84,9.8,0.83,2.01,1.98,8.84
Manitoba,2016,26.7,73.3,15.6,2.94,5.12,3.99,2.18,3.31,7.37,9.86,5.01,5.83,6.19,2.78,5.69,12.64,3.45,0.75,1.77,5.83,9.71,0.84,2.05,1.97,8.81
Manitoba,2017,27.24,72.76,15.67,2.9,5.23,4.24,2.43,3.28,7.57,9.72,5.01,5.93,6.39,2.66,5.65,12.47,3.36,0.74,1.7,5.73,9.64,0.85,2.02,1.94,8.67
Manitoba,2018,27.52,72.48,15.95,2.78,5.62,4.16,2.5,3.43,7.63,9.79,4.83,5.81,6.68,2.54,5.6,12.72,3.42,0.68,1.64,5.62,9.58,0.87,1.99,1.91,8.59
Saskatchewan,2010,46.5,53.5,33.72,2.11,22.9,4.94,25.51,2.26,7.94,5.85,4.87,4.36,4.71,1.87,3.56,9.59,2.38,0.52,1.14,4.69,6.21,0.68,1.66,1.52,5.73
Saskatchewan,2011,51.18,48.82,36.21,1.82,23.28,7.49,28.03,2.03,7.6,6.03,4.87,3.89,4.37,1.57,3.18,8.48,2.3,0.45,1.05,4.15,5.85,0.6,1.48,1.43,5.15
Saskatchewan,2012,50.48,49.52,34.58,1.93,23.04,7.15,25.85,2.06,8.87,6.55,4.93,4.07,4.42,1.62,3.06,8.71,2.48,0.45,1.11,4.29,5.65,0.58,1.5,1.49,5.14
Saskatchewan,2013,51.28,48.72,32.68,1.74,22.76,9.89,24.19,2.18,8.84,6.18,4.86,4.09,4.26,1.53,3.06,8.73,2.53,0.47,1.08,4.16,5.45,0.58,1.54,1.43,4.94
Saskatchewan,2014,48.68,51.32,33.43,1.78,23.78,5.63,25.08,2.19,9.77,6.01,5.35,4.17,4.54,1.51,3.29,9.25,2.75,0.47,1.15,4.28,5.74,0.56,1.59,1.52,5.15
Saskatchewan,2015,45.42,54.58,27.07,1.9,16.71,9.09,18.77,2.43,9.41,5.72,5.25,4.4,4.68,1.61,3.53,10.08,2.79,0.52,1.24,4.64,6.39,0.59,1.71,1.6,5.56
Saskatchewan,2016,42.72,57.28,23.56,2.02,15.25,10.39,14.94,2.65,8.94,5.8,5.51,4.7,4.91,1.68,3.77,10.63,2.58,0.54,1.29,4.9,6.79,0.62,1.78,1.66,5.92
Saskatchewan,2017,43.6,56.4,26.3,1.87,17.11,9.1,17.2,2.81,8.36,6.13,5.64,4.58,4.95,1.51,3.78,10.35,2.52,0.48,1.22,4.8,6.66,0.6,1.76,1.64,5.91
Saskatchewan,2018,43.39,56.61,26.52,1.8,16.09,8.9,17.05,2.88,8.14,6.43,5.73,4.46,5.17,1.46,3.8,10.4,2.51,0.47,1.16,4.77,6.74,0.6,1.74,1.64,5.96
Alberta,2010,44.41,55.59,33.6,3.08,27.58,1.15,24.72,1.55,9.96,7.03,4.29,4.25,4.19,2.54,4.03,9.8,5.45,0.78,2.22,3.88,5.27,0.5,1.98,1.93,4.48
